year,binary,budget_2013$,domgross_2013$,intgross_2013$,NET 
2013,PASS,25000000,16973715,70373715,45373715
2013,FAIL,135000000,187168425,573068425,438068425
2013,FAIL,30000000,36918811,51078541,21078541
2013,FAIL,26000000,3254172,6154172,-19845828
2013,FAIL,190000000,144840419,351040419,161040419
2013,FAIL,103000000,112200072,362000072,259000072
2013,PASS,43000000,159581587,230781587,187781587
2013,FAIL,250000000,257397516,937397516,687397516
2013,FAIL,50000000,26623701,58188384,8188384
2013,PASS,130000000,424088260,857088260,727088260
2013,FAIL,32000000,22537881,24255957,-7744043
2013,FAIL,58000000,44672764,93672764,35672764
2013,PASS,4000000,15179303,18541236,14541236
2013,FAIL,275000000,89289910,259989910,-15010090
2013,PASS,60000000,31165421,75965567,15965567
2013,FAIL,3000000,64473115,91100541,88100541
2013,PASS,110000000,71017784,348545841,238545841
2013,PASS,1500000,3491669,3491669,1991669
2013,PASS,5000000,21502690,26161443,21161443
2013,FAIL,100000000,115702857,365702857,265702857
2013,PASS,115000000,132556852,416456852,301456852
2013,FAIL,20000000,26004851,46578821,26578821
2013,FAIL,32000000,101470202,126294264,94294264
2013,FAIL,170000000,204674790,631674790,461674790
2013,FAIL,16000000,2322593,22594052,6594052
2013,FAIL,135000000,83028130,283828130,148828130
2013,FAIL,30000000,66380662,116643610,86643610
2013,PASS,37000000,150394119,270000119,233000119
2013,FAIL,150000000,73103784,205440387,55440387
2013,FAIL,190000000,202359711,539559711,349559711
2012,FAIL,68488103,38068365,116804318,48316215
2012,FAIL,12175663,71037735,83704673,71529010
2012,FAIL,9841994,6837603,26295088,16453094
2012,FAIL,49717290,13003980,71771007,22053717
2012,PASS,45151416,138016721,224540219,179388803
2012,FAIL,212059460,66190353,308594933,96535473
2012,FAIL,1826349,12983057,21388640,19562291
2012,PASS,1217566,603728,603728,-613838
2012,PASS,187708135,240755653,562725176,375017041
2012,FAIL,55805121,9628746,13760036,-42045085
2012,FAIL,1014639,18384886,38951995,37937356
2012,FAIL,12175663,65520463,128935373,116759710
2012,PASS,103493134,27505098,127863295,24370161
2012,PASS,25365964,67501874,99847390,74481426
2012,FAIL,101463857,165188672,431600549,330136692
2012,FAIL,31453796,95145068,164140491,132686695
2012,FAIL,39570904,35804351,82338719,42767815
2012,PASS,88273555,167508980,355225246,266951691
2012,PASS,86244278,150484138,364480509,278236231
2012,FAIL,60878314,81242857,220552732,159674418
2012,FAIL,3500503,697244,697244,-2803259
2012,PASS,279025606,74128153,286917566,7891960
2012,FAIL,15219578,15164322,37783896,22564318
2012,PASS,65951507,150988132,448493475,382541968
2012,FAIL,121756628,126816653,616887080,495130452
2012,PASS,65951507,184875236,276997302,211045795
2012,FAIL,147122592,219559143,757855127,610732535
2012,FAIL,218147292,181641463,633967639,415820347
2012,FAIL,86244278,65885725,171080229,84835951
2012,PASS,16234217,46178703,64949517,48715300
2012,FAIL,8117109,22879428,22879428,14762319
2012,PASS,42614820,26801198,36727096,-5887724
2012,PASS,5073193,54689359,144884139,139810946
2012,FAIL,60878314,56822855,109742304,48863990
2012,PASS,25365964,78398378,121927729,96561765
2012,PASS,16234217,12613776,12613776,-3620441
2012,PASS,17248856,65952616,117019460,99770604
2012,PASS,35512350,20572249,31852752,-3659598
2012,FAIL,65951507,45462690,48869204,-17082303
2012,FAIL,58849037,50606496,51102777,-7746260
2012,FAIL,147122592,104926572,311393491,164270899
2012,PASS,71024700,39082470,50852278,-20172422
2012,FAIL,33483073,17393015,42102643,8619570
2012,PASS,760979,4069672,4477791,3716812
2012,FAIL,13697621,15243980,23836212,10138591
2012,PASS,20292771,17786836,48646439,28353668
2012,PASS,21307410,134026609,230644998,209337588
2012,FAIL,3043916,48790826,89012016,85968100
2012,FAIL,202927713,308815675,1124923772,921996059
2012,PASS,172488556,157407735,406779965,234291409
2012,PASS,10146386,24754613,25021315,14874929
2012,PASS,5073193,14331045,31118489,26045296
2012,PASS,33483073,35588120,167975738,134492665
2012,FAIL,60878,4989,4989,-55889
2012,FAIL,50731928,221866693,557487654,506755726
2012,FAIL,68488103,37471707,58908258,-9579845
2012,FAIL,223220484,265866416,768984693,545764209
2012,FAIL,60878314,23727745,49296637,-11581677
2012,FAIL,279025606,454699213,1095143990,816118384
2012,PASS,1014639,54041622,103248087,102233448
2012,FAIL,65951507,60523416,182005391,116053884
2012,PASS,101463857,86272883,316546185,215082328
2012,FAIL,25365964,52335195,85574308,60208344
2012,FAIL,253659641,307439106,1029557373,775897732
2012,PASS,81171085,413983383,694530947,613359862
2012,FAIL,40585543,19298306,172073169,131487626
2012,FAIL,15219578,15862951,22306925,7087347
2012,FAIL,38048946,16484994,25484413,-12564533
2012,FAIL,55805121,31505670,124857587,69052466
2012,FAIL,15219578,21716836,47699629,32480051
2012,FAIL,138193773,296603952,844848985,706655212
2012,PASS,8866236,126844056,200511006,191644770
2012,FAIL,55805121,34855879,68338951,12533830
2012,FAIL,15219578,55128651,130843627,115624049
2012,FAIL,6087831,11663106,12310182,6222351
2012,PASS,12175663,92887325,97562697,85387034
2012,FAIL,21814729,16928587,75452356,53637627
2012,FAIL,126829821,59739858,201523449,74693628
2012,PASS,71024700,63233330,162727662,91702962
2012,PASS,32975753,17541229,24513601,-8462152
2012,PASS,38048946,41754612,81832836,43783890
2012,PASS,19278133,5388293,5510995,-13767138
2012,FAIL,152195785,84894893,306390492,154194707
2012,PASS,167415363,192185407,480342759,312927396
2012,PASS,53268525,97121930,139736750,86468225
2011,FAIL,28999342,38376408,42428850,13429508
2011,FAIL,8285526,36265871,42810004,34524478
2011,FAIL,20713816,5905595,15336023,-5377793
2011,FAIL,20713816,36312387,37560098,16846282
2011,PASS,181246,1368348,1844766,1663520
2011,FAIL,5178454,18318189,27464261,22285807
2011,FAIL,88033717,48120751,152893489,64859772
2011,PASS,13463980,1060729,5599381,-7864599
2011,PASS,19678125,103872387,224136189,204458064
2011,FAIL,72498355,86534481,219571833,147073478
2011,FAIL,17606743,28860115,39385487,21778744
2011,FAIL,4660609,207716,1294370,-3366239
2011,PASS,33659951,175142277,299587165,265927214
2011,FAIL,144996710,182959443,383795703,238798993
2011,FAIL,207138157,198283907,580147769,373009612
2011,PASS,932122,470329,470329,-461793
2011,FAIL,41427631,37974487,74257040,32829409
2011,FAIL,20713816,39629760,81937729,61223913
2011,PASS,62141447,78358394,142460919,80319472
2011,FAIL,10356908,776396,1087104,-9269804
2011,FAIL,168817598,103818215,182188693,13371095
2011,FAIL,18642434,54579387,76325433,57682999
2011,FAIL,38320559,74866751,99497492,61176933
2011,PASS,51784539,22062637,41357557,-10426982
2011,FAIL,15535362,36312033,80840663,65305301
2011,PASS,129461348,217326947,652320815,522859467
2011,FAIL,41427631,44107629,163522777,122095146
2011,PASS,24856579,53651623,65676025,40819446
2011,FAIL,31070724,18951742,41966863,10896139
2011,FAIL,207138157,120762760,239452924,32314767
2011,FAIL,37284868,46668987,86680344,49395476
2011,PASS,31070724,41695999,67675862,36605138
2011,FAIL,129461348,394609809,1375512553,1246051205
2011,FAIL,23820888,19618465,22967676,-853212
2011,FAIL,7249836,396614,396614,-6853222
2011,PASS,1864243,871074,889847,-974396
2011,FAIL,3107072,728476,864753,-2242319
2011,FAIL,65248520,111942955,191524428,126275908
2011,PASS,36249178,121733603,222195609,185946431
2011,FAIL,186424342,76500789,191637196,5212854
2011,FAIL,51784539,57067015,151193038,99408499
2011,FAIL,77676809,86484341,219113265,141436456
2011,FAIL,36249178,38894261,176134406,139885228
2011,PASS,5696299,5779651,15695916,9999617
2011,PASS,103569079,322549,97066426,-6502653
2011,FAIL,46606085,8602417,170412210,123806125
2011,PASS,7249836,38626496,39520511,32270675
2011,FAIL,82855263,106705263,222647578,139792315
2011,FAIL,828553,30100,478703,-349850
2011,FAIL,72498355,26021717,59839216,-12659139
2011,PASS,155353618,171146932,688566122,533212504
2011,FAIL,5696299,633541,13961315,8265016
2011,PASS,258923,3516575,3864669,3605746
2011,FAIL,27963651,82077930,175797590,147833939
2011,PASS,14499671,48869,48869,-14450802
2011,FAIL,3521349,5544660,18510079,14988730
2011,FAIL,155353618,22156282,40961320,-114392298
2011,PASS,1035691,3087434,3657064,2621373
2011,PASS,9735493,3139021,18688080,8952587
2011,PASS,31070724,58844493,160342190,129271466
2011,FAIL,150175164,216871479,719508092,569332928
2011,FAIL,51784539,78303911,115142275,63357736
2011,FAIL,56962993,70659436,196392298,139429305
2011,PASS,26927960,56491379,148791377,121863417
2011,PASS,25892270,73184210,154554145,128661875
2011,PASS,1035691,5547001,5547001,4511310
2011,PASS,5178454,25700491,26784257,21605803
2011,PASS,5178454,107741677,214429259,209250805
2011,PASS,41427631,38748242,103755310,62327679
2011,FAIL,258922697,249667634,1080913060,821990363
2011,FAIL,62141447,30176535,87157549,25016102
2011,FAIL,134639802,154587729,574795417,440155615
2011,FAIL,139818256,127656741,254266825,114448569
2011,FAIL,113925987,88513562,303703179,189777192
2011,PASS,43499013,39006354,93523336,50024323
2011,PASS,4142763,1103455,1103455,-3039308
2011,PASS,8285526,169597,2918985,-5366541
2011,FAIL,93212171,148745713,504919774,411707603
2011,FAIL,96319243,183068895,500093845,403774602
2011,FAIL,6731990,4145138,11166495,4434505
2011,PASS,6214145,1396324,11753231,5539086
2011,PASS,18642434,45418587,48841781,30199347
2011,FAIL,33142105,56664949,145440503,112298398
2011,PASS,25892270,10692928,11655479,-14236791
2011,PASS,77676809,37691379,92961937,15285128
2011,PASS,51784539,131537058,269379017,217594478
2011,PASS,4919531,1790661,3240628,-1678903
2011,FAIL,51991677,64726164,132354553,80362876
2011,FAIL,134639802,80361144,387342089,252702287
2011,FAIL,16571053,46261299,132834295,116263242
2011,PASS,10356908,48039108,139537943,129181035
2011,FAIL,31070724,43574905,73293915,42223191
2011,PASS,36042039,22208829,65074228,29032189
2011,PASS,3107072,18642,18642,-3088430
2011,PASS,1035691,588958,588958,-446733
2011,FAIL,93212171,106174662,241492267,148280096
2011,FAIL,113925987,102305579,236120048,122194061
2011,FAIL,6214145,5551069,16513705,10299560
2011,PASS,25892270,175762513,220726425,194834155
2011,PASS,14499671,31028712,119717677,105218006
2011,FAIL,41427631,60079594,90255363,48827732
2011,FAIL,44016858,30160867,79072292,35055434
2011,FAIL,46606085,91789051,166717137,120111052
2011,FAIL,38320559,34227129,99475649,61155090
2011,PASS,16571053,38631377,41942847,25371794
2011,PASS,113925987,147704169,583162839,469236852
2011,FAIL,93212171,21105217,144870266,51658095
2011,FAIL,36249178,13780555,64529403,28280225
2011,PASS,132050575,291326492,735276926,603226351
2011,PASS,155353618,187491749,465363438,310009820
2011,FAIL,21749507,25011304,84359926,62610419
2011,FAIL,88033717,80832113,158947830,70914113
2011,PASS,201959703,364967639,1163903170,961943467
2011,FAIL,72498355,82734459,162412399,89914044
2011,FAIL,25892270,14144548,25079651,-812619
2011,FAIL,51784539,78323650,123169061,71384522
2011,FAIL,196781,501887,1633890,1437109
2011,PASS,20713816,14511151,31807187,11093371
2011,FAIL,31070724,27645535,51935343,20864619
2011,PASS,165710526,151633733,368093107,202382581
2011,PASS,12428289,16893744,23562334,11134045
2011,PASS,124283,1654502,3200899,3076616
2010,FAIL,19228173,19586277,64879307,45651134
2010,PASS,213646368,356993585,1094287202,880640834
2010,FAIL,4486574,1115276,8629906,4143332
2010,PASS,8545855,3424437,19768384,11222529
2010,PASS,32046955,8014473,9449125,-22597830
2010,FAIL,3418342,6186017,12353318,8934976
2010,FAIL,37388114,5449304,26813941,-10574173
2010,PASS,13887014,114252393,353869648,339982634
2010,FAIL,1068232,10402326,17696585,16628353
2010,PASS,58752751,42131764,95774887,37022136
2010,FAIL,13352898,2179053,2222851,-11130047
2010,FAIL,16023478,132001,7075508,-8947970
2010,FAIL,47002201,33335524,51785833,4783632
2010,FAIL,133528980,174351340,526867848,393338868
2010,PASS,13352898,7261515,10824983,-2527915
2010,FAIL,39524578,47937418,59724746,20200168
2010,PASS,16023478,21598495,21953741,5930263
2010,FAIL,7477623,7978555,10724926,3247303
2010,PASS,58752751,105446665,162658630,103905879
2010,FAIL,26705796,85474402,118960872,92255076
2010,PASS,73707997,268675247,580578700,506870703
2010,PASS,10682318,35977680,67676882,56994564
2010,PASS,16023478,68370710,82205045,66181567
2010,FAIL,73707997,78009058,92718787,19010790
2010,PASS,26705796,25687431,33703834,6998038
2010,FAIL,69435070,107399007,226186388,156751318
2010,FAIL,21364637,1267498,6506276,-14858361
2010,PASS,8545855,62386303,81400037,72854182
2010,PASS,64093910,86071723,219892171,155798261
2010,FAIL,64093910,46269276,86749716,22655806
2010,FAIL,5341159,2897185,2897185,-2443974
2010,PASS,53411592,12281992,27878177,-25533415
2010,FAIL,12818782,24825729,38091703,25272921
2010,PASS,22432869,40304065,40611902,18179033
2010,FAIL,160234776,419868647,1073092418,912857642
2010,FAIL,42729274,65326144,97696078,54966804
2010,PASS,34183419,19019119,42718768,8535349
2010,FAIL,106823184,37919386,104177195,-2645989
2010,PASS,80117388,173054825,290797736,210680348
2010,FAIL,10575495,489308,489308,-10086187
2010,PASS,133528980,316178791,1021656625,888127645
2010,FAIL,38456346,53699864,67522890,29066544
2010,PASS,176258254,232427199,528636950,352378696
2010,PASS,10682318,5346997,16164710,5482392
2010,FAIL,170917095,312539208,889393184,718476089
2010,PASS,1602348,57694294,106685260,105082912
2010,PASS,181599413,333751233,666108069,484508656
2010,FAIL,8545855,6797830,7080589,-1465266
2010,FAIL,29910492,51351297,104182018,74271526
2010,FAIL,124983125,81637519,280028482,155045357
2010,PASS,27774028,42908822,73552139,45778111
2010,FAIL,21364637,12962924,30199340,8834703
2010,FAIL,32046955,56650955,84535576,52488621
2010,FAIL,32046955,34575465,109728398,77681443
2010,PASS,13352898,28408179,47356808,34003910
2010,PASS,8545855,1170108,16711628,8165773
2010,FAIL,2136464,1044487,1997517,-138947
2010,FAIL,138870139,158542540,343850165,204980026
2010,FAIL,534116,253492,6024539,5490423
2010,PASS,42729274,33127720,64137680,21408406
2010,PASS,37388114,31189851,104472930,67084816
2010,PASS,16023478,2600773,12294827,-3728651
2010,PASS,3204696,90535754,189624005,186419309
2010,FAIL,101482025,94825128,241919399,140437374
2010,PASS,3204696,4308792,4882010,1677314
2010,FAIL,42729274,55548791,135915826,93186552
2010,FAIL,213646368,96952376,357921415,144275047
2010,PASS,5341159,2381151,6238038,896879
2010,PASS,16023478,27952425,29343924,13320446
2010,FAIL,64093910,96546967,209843135,145749225
2010,PASS,17091709,20369301,60361637,43269928
2010,PASS,34183419,14893296,19436733,-14746686
2010,FAIL,224328687,112684730,344460978,120132291
2010,PASS,138870139,126383971,315890541,177020402
2010,PASS,90799707,33768214,51371013,-39428694
2010,PASS,37388114,63772921,64495830,27107716
2010,PASS,101482025,101853441,314787390,213305365
2010,FAIL,176258254,255026238,807844640,631586386
2010,FAIL,85458547,136747492,317084404,231625857
2010,FAIL,10682318,22877632,84062765,73380447
2010,FAIL,7477623,1907483,15367204,7889581
2010,FAIL,2029641,499507,4894571,2864930
2010,FAIL,2670580,350077,553731,-2116849
2010,FAIL,34183419,61684749,75403567,41220148
2010,PASS,277740279,214524387,626605502,348865223
2010,FAIL,117505503,82491105,189334662,71829159
2010,PASS,37388114,40048019,80417752,43029638
2010,PASS,165575935,111509464,446720616,281144681
2010,FAIL,26705796,12325477,16992803,-9712993
2010,PASS,20296405,41793064,58705899,38409494
2010,PASS,21364637,33304850,49783934,28419297
2010,FAIL,87595011,110101079,286572606,198977595
2010,FAIL,11750550,100004670,138082199,126331649
2010,FAIL,48070433,16601978,70003894,21933461
2010,FAIL,17625825,42588953,89509349,71883524
2010,FAIL,42729274,188640789,383593100,340863826
2010,PASS,4272927,22231363,38750611,34477684
2010,FAIL,13887014,232102,3864090,-10022924
2010,PASS,16023478,148267855,460216888,444193410
2010,FAIL,160234776,140763246,341528548,181293772
2010,PASS,1922817,43834199,74953449,73030632
2010,FAIL,26705796,25201119,28536765,1830969
2010,PASS,32046955,22591662,71844911,39797956
2010,FAIL,106823184,127354577,182599780,75776596
2010,PASS,10148202,3817511,5638803,-4509399
2010,FAIL,42729274,103578637,240268986,197539712
2010,FAIL,170917095,67459899,229831139,58914044
2010,PASS,29910492,25965625,54462053,24551561
2010,FAIL,20296405,29652476,53260400,32963995
2010,PASS,21364637,296908,296908,-21067729
2010,FAIL,106823184,72245755,297749724,190926540
2010,FAIL,39524578,98476300,162976800,123452222
2010,PASS,72639765,321037586,747325041,674685276
2010,FAIL,160234776,66433214,152366563,-7868213
2010,PASS,53412,418399,453089,399677
2010,FAIL,213646368,443321427,1136341723,922695355
2010,FAIL,213646368,183802922,424689202,211042834
2010,PASS,37388114,182927231,269490247,232102133
2010,PASS,5341159,239111,5850485,509326
2010,FAIL,101482025,87128132,181077698,79595673
2010,PASS,55548056,118024294,232414484,176866428
2010,FAIL,74776229,56055056,146808831,72032602
2010,PASS,10682318,163287,334204,-10348114
2010,FAIL,8545855,116798,116798,-8429057
2010,PASS,2136464,6977159,17232238,15095774
2010,FAIL,85458547,107085981,216086548,130628001
2010,PASS,21364637,27455751,35079607,13714970
2010,PASS,16023478,3469420,36584608,20561130
2009,FAIL,8142987,35168338,66015966,57872979
2009,PASS,43429264,69668214,151432312,108003048
2009,FAIL,217146319,180353228,856000062,638853743
2009,FAIL,32571948,34471863,52723125,20151177
2009,FAIL,15200242,16845625,24771466,9571224
2009,FAIL,7600121,10019987,32963430,25363309
2009,FAIL,7600121,9962673,30555070,22954949
2009,FAIL,3474341,2472641,3071090,-403251
2009,FAIL,10640170,17419505,18613810,7973640
2009,FAIL,76001212,672527,42335163,-33666049
2009,FAIL,1085732,675172,675172,-410560
2009,PASS,16285974,36766024,43567433,27281459
2009,PASS,8142987,13652981,32194912,24051925
2009,FAIL,162859739,144810370,532959416,370099677
2009,FAIL,21714632,17359628,25689537,3974905
2009,FAIL,70572554,21227211,47873178,-22699376
2009,FAIL,461435929,825707158,3022588801,2561152872
2009,PASS,22800364,10262276,10974592,-11825772
2009,FAIL,45600727,65203101,142000928,96400201
2009,PASS,32571948,63749284,125022454,92450506
2009,PASS,9228719,4825683,18740466,9511747
2009,FAIL,18457437,29492371,42596761,24139324
2009,PASS,28229022,30991293,48905553,20676531
2009,FAIL,21714632,15594794,20760850,-953782
2009,PASS,29314753,14398811,31814980,2500227
2009,FAIL,14114511,3338902,10504640,-3609871
2009,FAIL,108573160,135575603,257131292,148558132
2009,PASS,24971827,6637983,55170185,30198358
2009,PASS,65143896,81740638,136842415,71698519
2009,FAIL,21714632,32682233,55808316,34093684
2009,FAIL,868585,50749,2382117,1513532
2009,FAIL,32571948,125560771,233645777,201073829
2009,PASS,32571948,45709979,99223368,66651420
2009,FAIL,17371706,366974,366974,-17004732
2009,FAIL,21714632,9998368,9998368,-11716264
2009,FAIL,43429264,22803533,50485349,7056085
2009,FAIL,92287186,168358172,394190344,301903158
2009,FAIL,21714632,18708557,20203912,-1510720
2009,PASS,3257195,406796,6430020,3172825
2009,FAIL,18457437,70574746,99562425,81104988
2009,FAIL,78715541,56300661,78042718,-672823
2009,FAIL,162859739,129676275,312028062,149168323
2009,FAIL,190003029,163078512,328400169,138397140
2009,FAIL,54286580,22295397,38068663,-16217917
2009,FAIL,7600121,9963686,10528267,2928146
2009,FAIL,7925841,1974599,6833747,-1092094
2009,PASS,271432899,327846641,1014525504,743092605
2009,PASS,43429264,102008450,193683923,150254659
2009,FAIL,14114511,2212134,16443063,2328552
2009,FAIL,43429264,77564677,99593620,56164356
2009,FAIL,97715844,213426283,963009937,865294093
2009,FAIL,76001212,131190089,344146212,268145000
2009,FAIL,53200848,40705558,135164207,81963359
2009,PASS,92287186,122400359,243871325,151584139
2009,PASS,17371706,17594056,35646920,18275214
2009,PASS,43429264,102194949,137503693,94074429
2009,FAIL,54286580,86812530,203964063,149677483
2009,FAIL,57543775,79646802,142404318,84860543
2009,PASS,4885792,305576,305576,-4580216
2009,FAIL,45600727,1367688,12764862,-32835865
2009,FAIL,190003029,215356519,414410048,224407019
2009,FAIL,5428658,5439692,11591350,6162692
2009,PASS,7600121,1205715,5440068,-2160053
2009,FAIL,15200242,55965069,111564348,96364106
2009,PASS,29857619,53418244,104960933,75103314
2009,FAIL,86858528,21363903,58096258,-28762270
2009,FAIL,54286580,41391219,66905911,12619331
2009,FAIL,2062890,1569280,8452669,6389779
2009,PASS,13028779,597665,597665,-12431114
2009,FAIL,4668646,216308,10630704,5962058
2009,FAIL,43429264,11216534,18493734,-24935530
2009,FAIL,7165829,899,899,-7164930
2009,FAIL,65143896,45811424,118340524,53196628
2009,PASS,10857316,51644478,74614567,63757251
2009,FAIL,111287489,105429554,228416195,117128706
2009,PASS,41257801,34538780,48218998,6961197
2009,FAIL,97715844,226949041,541170116,443454272
2009,PASS,32571948,18468479,24386618,-8185330
2009,PASS,152002424,279825625,418745446,266743022
2009,PASS,65143896,40191563,99285148,34141252
2009,FAIL,86858528,41885106,129927709,43069181
2009,FAIL,217146319,136066564,403488847,186342528
2009,FAIL,38000606,277903289,331914441,293913835
2009,FAIL,54286580,8704817,40685241,-13601339
2009,FAIL,8685853,11153924,11153924,2468071
2009,PASS,27143290,16342407,28600229,1456939
2009,PASS,9011572,535587,1469316,-7542256
2009,PASS,43429264,72176939,203449410,160020146
2009,PASS,10857316,28465896,53729463,42872147
2009,FAIL,97715844,111304636,253160295,155444451
2009,FAIL,1411451,755495,1092072,-319379
2009,PASS,10857316,109320,109320,-10747996
2009,FAIL,38000606,301097804,509809040,471808434
2009,FAIL,32571948,8348849,69869659,37297711
2009,FAIL,23886095,36173125,45352277,21466182
2009,FAIL,20086035,20033106,35480909,15394874
2009,PASS,19543169,7185227,17041802,-2501367
2009,PASS,103144502,47896216,103029901,-114601
2009,FAIL,26057558,35208316,73122088,47064530
2009,FAIL,7057255,1204793,1530512,-5526743
2009,PASS,114001818,113351355,294230416,180228598
2009,FAIL,43429264,178014415,341690283,298261019
2009,FAIL,27143290,8809919,29981685,2838395
2009,FAIL,8685853,749470,2823897,-5861956
2009,FAIL,65143896,34439578,41750888,-23393008
2009,FAIL,119430476,71063643,165426811,45996335
2009,FAIL,42343532,68851502,107125483,64781951
2009,FAIL,41257801,96538057,222824741,181566940
2009,PASS,17371706,46328612,84913778,67542072
2009,PASS,38000606,11944429,34611919,-3388687
2009,PASS,228003635,436585563,908235868,680232233
2009,FAIL,190003029,318123879,794258938,604255909
2009,FAIL,32571948,91009693,181146433,148574485
2009,FAIL,149830960,116726786,199848831,50017871
2009,FAIL,16285974,5761658,38116460,21830486
2009,FAIL,108573160,83854815,107621685,-951475
2009,PASS,16285974,14161591,20472719,4186745
2009,PASS,38000606,11156585,13305365,-24695241
2009,FAIL,162859739,195304827,406960171,244100432
2009,FAIL,19543169,16596046,21373265,1830096
2009,PASS,25623266,82070762,111001503,85378237
2008,PASS,37878971,87835235,170836899,132957928
2008,FAIL,21645126,21873909,30016892,8371766
2008,FAIL,140693320,53630131,232772564,92079244
2008,PASS,32467689,65470243,69688090,37220401
2008,FAIL,21645126,12094392,33435494,11790368
2008,PASS,86580505,119158557,236319281,149738776
2008,PASS,27056408,3326198,21702440,-5353968
2008,PASS,162338447,123435400,339778437,177439990
2008,FAIL,40043484,65319955,176857711,136814227
2008,PASS,59524097,38679626,123166807,63642710
2008,FAIL,62770866,317867,32595998,-30174868
2008,PASS,41125740,8519189,12789087,-28336653
2008,PASS,27056408,86632922,184810452,157754044
2008,FAIL,70346660,39303255,78481785,8135125
2008,PASS,54112816,31001030,45745616,-8367200
2008,PASS,7575794,34893728,60458935,52883141
2008,PASS,35714458,11914311,23399667,-12314791
2008,PASS,21645126,36197653,55137666,33492540
2008,FAIL,86580505,109784884,192713668,106133163
2008,PASS,15151588,2875321,13697884,-1453704
2008,FAIL,541128,36208310,36226687,35685559
2008,FAIL,27056408,15740274,62280329,35223921
2008,PASS,32467689,68368797,113824188,81356499
2008,PASS,86580505,130028810,176998734,90418229
2008,FAIL,31385433,20153811,30459656,-925777
2008,PASS,1082256,2718061,6526145,5443889
2008,PASS,36796715,16331680,222200929,185404214
2008,FAIL,21645126,14342754,28801384,7156258
2008,FAIL,27056408,160277075,297125986,270069578
2008,PASS,9740307,5288138,5301200,-4439107
2008,FAIL,162338447,246696294,675702695,513364248
2008,PASS,89286146,82236872,173580993,84294847
2008,PASS,11904819,98008500,296963426,285058607
2008,FAIL,32467689,21134953,33564393,1096704
2008,FAIL,16233845,8442492,37374405,21140560
